Date de diffusion;Horaire;Titre du produit;Titre de l'épisode;PRESSE UK;
SAMEDI   05 JUIN      2010;
;07:00;FIM MX1 WORLD CHAMPIONSHIP REPLAY;RD 6 : USA - RACE 1;The start to finish re-broadcast of the two heat FIM MX1 World Motocross Championship.;
;07:50;FIM MX1 WORLD CHAMPIONSHIP REPLAY;RD 6 : USA - RACE 2;The start to finish re-broadcast of the two heat FIM MX1 World Motocross Championship.;
;08:45;FUN CUP UK;SNETTERTON;If it is a Volkswagen and its owner wants to enjoy racing it then it can be found in the Fun Cup UK.;
;09:10;BRITISH F3;RD 3 : MAGNY-COURS;A world renowned junior F3 category, British Formula 3 is the national single-seater series of choice for any self-respecting future world champ.;
;10:00;JEAN-ERIC VERGNE...MADE IN ENGLAND;MAGNY-COURS;A behind the scenes look at the British Formula 3 Championship from the prospective of French single-seater hopeful, Jean-Eric Vergne.;
;10:30;SUPERSTARS GT SPRINT;RD 3 : PORTIMAO;An all-new series for 2010 with GT2, GT3 and GT4 cars competing in sprint races on some of Europe's finest circuits.;
;10:55;SUPERSTARS INTERNATIONAL SERIES;RD 3 : PORTIMAO;GT machines from Audi, BMW and Chevrolet in the hands of Italy's top touring car drivers battle on Italy's most challenging circuits.;
;11:20;VOLKSWAGEN SCIROCCO CUP;RD 1 : HOCKENHEIM;Ecologic innovation with the genes of a pure champion  the Volkswagen Scirocco Cup features eco-friendly, future-oriented power units under the hood of maybe Volkswagen's most stories sports car.;
;11:45;VOLKSWAGEN SCIROCCO CUP;RD 2 : 24H NÜRBURGRING;Ecologic innovation with the genes of a pure champion  the Volkswagen Scirocco Cup features eco-friendly, future-oriented power units under the hood of maybe Volkswagen's most stories sports car.;
;12:10;AMA SUPERCROSS LITES;SEASON REVIEW;All the thrills and spills from the action packed 2010 Lites category of the AMA Supercross Championship.;
;13:05;AMA SUPERCROSS OPEN;SEASON REVIEW;All the thrills and spills from the action packed 2010 Open category of the AMA Supercross Championship.;
;14:00;DUTCH SUPERCAR CHALLENGE;RD 3 : ASSEN;Gt cars of all sizes and description compete in one of Europe's fastest growing series.;
